known_lambda,data,prop_ci,mean_ci_width,median_abs_delta,sd_abs_delta
-2.1,Biased,0,0.043814000000000165,0.21548425768954982,0.01062312366125698
-2,Biased,0,0.03918200000000008,0.19750862566023175,0.009457480841458803
-1.9,Biased,0,0.03462799999999991,0.17650319829281969,0.008395242930487254
-2.1,Corrected,0.894,0.04218799999999988,0.008619140111213008,0.007688966762156217
-2,Corrected,0.886,0.03817800000000018,0.007933965451983993,0.007184374689365536
-1.9,Corrected,0.888,0.03419599999999983,0.00732250555045999,0.006489784240572328
