known_lambda,data,prop_ci,mean_ci_width,median_abs_delta,sd_abs_delta
-2.1,Biased,0,0.05749019607843137,0.6537063144250259,0.013324757401875723
-2,Biased,0,0.05033734939759037,0.6007130805421417,0.015964632041354888
-1.9,Biased,0,0.04307831325301207,0.5419465814351431,0.016514134430379936
-2.1,Fixed,0.9215686274509803,2.5759084967320263,0.5079036014398075,0.38514598255767446
-2,Fixed,0.9349397590361446,2.0461807228915663,0.38696294960180344,0.32023004497966634
-1.9,Fixed,0.9257028112449799,1.2630341365461848,0.23138167599054338,0.20932106566224234
